作品名称,发布时间,体裁,审核状态,播放量,完播率,5s完播率,封面点击率,2s跳出率,平均播放时长,点赞量,分享量,评论量,收藏量,主页访问量,粉丝增量
"求职和做自媒体，底层逻辑完全一样。 求职和做内容，表面两件事，实际同一套逻辑。
不是你够不够好，是别人有没有在3秒内看见你的好。
这个道理，我19年研发、上百场招聘、100多条视频里，越做越确定。
#求职 #职场 #研发总监 #被看见 #研发总监",2026-05-10 19:33:20,1min-视频,公开,1438,0.042433,0.316176,-,0.284091,15.522727,14,1,9,3,29,1
"裁员真相：第一个被裁的，从来不是能力最差的 43岁，19年研发，亲手签过裁员单。
第一个被裁的，从来不是能力最差的，是信息最闭塞的。
你身边有这种人吗？评论区说说。#中年危机 #职场 #裁员 #程序员 #研发总监",2026-05-08 19:37:27,1-3min视频,公开,2430,0.050124,0.540824,-,0.280524,18.107865,30,3,5,2,49,4
"我管33人研发团队，但最怕面试一个人。 面试了上千人之后，我发现自己最怕的不是候选人不行—— 是他太好，我反而不敢要。所以教你们一句实话：问清楚前人为什么走。 含糊其辞的，自己掂量。
#面试 #求职 #研发总监 #双向选择 #应届生",2026-05-07 19:03:00,1min-视频,公开,3046,0.131768,0.525073,-,0.318367,15.958601,55,2,5,12,65,2
"做嵌入式19年，为什么我从不建议新人交培训费？ 交培训费入行，是把命运的主动权交给了别人。
我见过太多人花了几万块，学完出来还是找不到工作。
不是因为嵌入式难，是因为学习路径从一开始就走反了。
这期先不讲AI，先说清楚一件事：怎么判断自己适不适合入这行。
#嵌入式 #培训机构 #避坑 #程序员 #AI",2026-05-03 17:38:17,1-3min视频,公开,1774,0.053801,0.429025,-,0.345339,15.709746,31,4,6,9,50,17
"程序员情绪崩溃了怎么办？我用NLP写了一套情绪防火墙。 三个程序员情绪工具：
一个清内存，一个中断进程，一个断点调试。
收藏起来，下次领导点燃就用。
我是老陈，19年程序员。
关注我，下期拆解：情商的结构体里都有什么变量与方法。#NLP #程序员 #情绪管理 #情商 #研发总监",2026-05-02 14:03:00,3-5min视频,公开,1100,0.017969,0.354531,0.606918,0.348967,14.139572,17,4,4,3,15,4
"应届生选offer，工资还是发展？工程师告诉你判断标准 知道这5条的人，不到10%。
我跟很多跳槽的人聊过，
最后悔的不是选了工资低的，
是选的时候，根本不知道自己亏了多少。
#应届生 #职业规划#工程师 #薪资 #研发总监",2026-04-28 12:10:00,1-3min视频,公开,98621,0.059879,0.396975,-,0.386888,12.838935,732,121,305,305,1184,79
"屎山签字人 屎山崩了，没人无辜。
每一座屎山背后，
都有层层审批的同意。
而我，也是那个签字的人。
老陈，只说真话。",2026-04-25 19:03:00,1min-视频,公开,9981,0.122611,0.589565,-,0.196039,14.976522,93,3,10,3,56,3
"42岁研发总监，我的座右铭是一条笑话。 越讲越觉得其中有人生的哲理——今天，终于悟出来了。
一条笑话，三个层次，看完你就懂了。
#人生感悟 #哲学 #研发总监 #佛心自现 #老子",2026-04-22 12:51:00,1min-视频,公开,1053,0.059512,0.460303,-,0.308653,10.273619,10,0,2,1,16,0
"研发总监在用的起号工具 信息量有点多。需要的话暂停观看。工具和我一直都在进化提升。10000粉后会开源龙是数据。下期更新这段时间踩过的坑。
#AI工具 #自媒体起号 #豆包 #自媒体运营 #研发总监",2026-04-21 19:03:00,1min-视频,公开,1129,0.019383,0.247104,-,0.44556,7.545525,19,0,1,3,33,2
偷得浮生半日闲，今天，我是自己。#自媒体之路就是个坚持 #做真实的自己就好 #豆包#研发总监#自媒体运营,2026-04-19 15:25:14,1min-视频,自见,0,0.052721,0.301711,-,0.362364,7.939347,10,0,6,0,36,1
"我主页的第一行：三明学院 很多人看不上这四个字，觉得不是985、211，连听都没听过。 
最近很多同学私信我，说对未来迷茫，不知道学什么，怕嵌入式卷、怕AI抢饭碗。 
我就一句话：别纠结，先做起来！ 
在做的过程里找答案，比你原地想1万条路有用得多。 
我不是名校毕业，但我从来不是""想清楚了再做""，而是""先做起来""。 
我是老陈，只说真话。
关注我，少踩坑。
#迷茫 #职业规划 #成长 #研发总监 #内耗",2026-04-18 19:03:00,1min-视频,公开,38092,0.048272,0.418484,-,0.372015,7.528147,201,429,45,24,7269,43
"粉丝要给我2万学费，我直接劝他别给！ 35 岁电工想做宠物洗澡机创业，别再被培训割韭菜，创业不是退路，别拿积蓄赌！
#中年转行 #嵌入式避坑 #创业避坑 #拒绝割韭菜 #研发总监",2026-04-17 23:33:30,1min-视频,公开,1650,0.086878,0.409461,-,0.316887,7.436928,16,0,1,1,45,0
"天塌了！做抖音被半个部门同事刷到了！ 天塌了！ 
我一个研发总监，换了号、关了定位，发作品不到两天——同事：老陈，你抖音速更！ 
本以为社死，结果发现：同事刷到，反而证明我没吹牛逼。 
以后小牛逼是吹不了了，不过有同事监督，更得说真话。 
同事们，评论区报道！ 
我是老陈，只说真话。
#职场 #社死 #打工人 #研发总监 #真实",2026-04-16 20:08:56,1min-视频,自见,0,0.13094,0.481829,-,0.300531,12.247863,28,1,12,2,239,13
"被豆包老师骂完，我养了只虾做运营总监 🎯 42岁研发总监，养了只虾帮我做运营 
第2期播放量翻4倍，不是内容变好了
是虾帮我找到了问题 
📌 这期学什么：
• 标题有钩子
• 开头有结果
• 节奏不拖沓 
👇 评论区留言""1""，下期手把手教你用AI做运营 
1万粉时，把虾的运营工作流完整开源 
——— 
我是老陈，搞研发19年
只说真话，不玩虚的
#中年转型#自媒体运营 #短视频干货 #研发总监 #AI工具 @豆包",2026-04-16 19:30:00,1min-视频,公开,1384,0.043206,0.489323,-,0.266016,10.816962,20,0,8,5,65,6
"被豆包老师骂完，我养了只虾做运营总监 🎯 42岁研发总监，养了只虾帮我做运营 
第2期播放量翻4倍，不是内容变好了
是虾帮我找到了问题 
📌 这期学什么：
• 标题有钩子
• 开头有结果
• 节奏不拖沓 
👇 评论区留言""1""，下期手把手教你用AI做运营 
1万粉时，把虾的运营工作流完整开源 
——— 
我是老陈，搞研发19年
只说真话，不玩虚的
#中年转型 #自媒体运营 #短视频干货 #研发总监 #AI工具",2026-04-15 20:56:56,1min-视频,自见,0,0.039514,0.499369,-,0.228247,10.558638,15,1,3,2,47,6
