作品名称,发布时间,体裁,审核状态,播放量,完播率,5s完播率,封面点击率,2s跳出率,平均播放时长,点赞量,分享量,评论量,收藏量,主页访问量,粉丝增量,数据获取时间,备注
2005 年电赛四天三夜熬出来的底气，我到现在还没用完。 2005 年全国大学生电子竞赛，实验室地上躺满人，没人逼却不敢睡。画圆模块卡死一整夜，普通二本生只能死磕。后来再累，我都记得那天的阳光。你也有过拼到崩溃的时刻吗？#全国大学生电子设计大赛 #双非大学 #二本逆袭 #嵌入式 #奋斗,2026-05-17 22:20:17,1min-视频,公开,4207,0.042533,0.457642,-,0.315638,10.92015,61,4,5,9,0,2,2026-05-18 11:11,
成年人的心酸，都藏在深夜返程的沉默里 #人间归途 #中年职场 #程序员日常 #研发总监 #打工人的心酸,2026-05-16 00:01:36,1min-视频,公开,97699,0.150407,0.503563,-,0.295165,16.16069,579,145,130,100,2638,86,2026-05-18 11:11,
8人宿舍，4个研发总监。我就是二本毕业的。 三明学院二本，铁架床没空调。十年后回头看，真正决定你能走多远的，从来不是毕业证上的校名。#二本 #学历逆袭 #职场 #研发总监 #老陈说AI,2026-05-14 22:33:11,1min-视频,公开,4743,0.144133,0.474592,-,0.3449,13.462837,43,13,13,7,200,10,2026-05-18 11:11,
"求职和做自媒体，底层逻辑完全一样。 求职和做内容，表面两件事，实际同一套逻辑。
不是你够不够好，是别人有没有在3秒内看见你的好。
这个道理，我19年研发、上百场招聘、100多条视频里，越做越确定。
#求职 #职场 #研发总监 #被看见 #研发总监",2026-05-10 19:33:20,1min-视频,公开,1873,0.039725,0.334334,-,0.29029,13.54955,17,1,9,5,47,1,2026-05-18 11:11,
"裁员真相：第一个被裁的，从来不是能力最差的 43岁，19年研发，亲手签过裁员单。
第一个被裁的，从来不是能力最差的，是信息最闭塞的。
你身边有这种人吗？评论区说说。#中年危机 #职场 #裁员 #程序员 #研发总监",2026-05-08 19:37:27,1-3min视频,公开,2731,0.050717,0.547548,-,0.281949,18.587588,33,3,7,2,50,5,2026-05-18 11:11,
"我管33人研发团队，但最怕面试一个人。 面试了上千人之后，我发现自己最怕的不是候选人不行—— 是他太好，我反而不敢要。所以教你们一句实话：问清楚前人为什么走。 含糊其辞的，自己掂量。
#面试 #求职 #研发总监 #双向选择 #应届生",2026-05-07 19:03:00,1min-视频,公开,3249,0.13888,0.528075,-,0.318543,16.057518,62,2,6,13,65,4,2026-05-18 11:11,
"做嵌入式19年，为什么我从不建议新人交培训费？ 交培训费入行，是把命运的主动权交给了别人。
我见过太多人花了几万块，学完出来还是找不到工作。
不是因为嵌入式难，是因为学习路径从一开始就走反了。
这期先不讲AI，先说清楚一件事：怎么判断自己适不适合入这行。
#嵌入式 #培训机构 #避坑 #程序员 #AI",2026-05-03 17:38:17,1-3min视频,公开,2124,0.053471,0.465236,-,0.31588,17.018455,41,6,7,16,55,23,2026-05-18 11:11,
"程序员情绪崩溃了怎么办？我用NLP写了一套情绪防火墙。 三个程序员情绪工具：
一个清内存，一个中断进程，一个断点调试。
收藏起来，下次领导点燃就用。
我是老陈，19年程序员。
关注我，下期拆解：情商的结构体里都有什么变量与方法。#NLP #程序员 #情绪管理 #情商 #研发总监",2026-05-02 14:03:00,3-5min视频,公开,1244,0.019093,0.360142,0.430532,0.35089,14.488636,20,4,4,3,15,4,2026-05-18 11:11,
"应届生选offer，工资还是发展？工程师告诉你判断标准 知道这5条的人，不到10%。
我跟很多跳槽的人聊过，
最后悔的不是选了工资低的，
是选的时候，根本不知道自己亏了多少。
#应届生 #职业规划#工程师 #薪资 #研发总监",2026-04-28 12:10:00,1-3min视频,公开,99328,0.060182,0.397282,-,0.386734,12.884346,738,122,307,314,1203,80,2026-05-18 11:11,
"屎山签字人 屎山崩了，没人无辜。
每一座屎山背后，
都有层层审批的同意。
而我，也是那个签字的人。
老陈，只说真话。",2026-04-25 19:03:00,1min-视频,公开,10070,0.122704,0.588292,-,0.197217,14.96833,94,3,10,3,56,3,2026-05-18 11:11,
